,,"45,041","34,44,81,898","62,664",,,"5,004","2,43,71,541","5,050",,
city,campaignCode,responders,sales,bills,abv,amv,redeemers,redeemers_Sales,redeemers_Bills,redeemers_ABV,redeemers_AMV
VARANASI,BROD_BROD_2092,33,238272,39,6110,7220,1,2999,1,2999,2999
BASTI,BROD_BROD_2092,29,155350,32,4855,5357,2,6989,2,3494,3494
Gurgaon,BROD_BROD_2092,34,197496,39,5064,5809,2,4994,2,2497,2497
GORAKHPUR,BROD_BROD_2271,27,2663240,448,5945,98639,4,20092,4,5023,5023
DEORIA,BROD_BROD_2271,1,7793,1,7793,7793,0,0,0,0,0
BAREILLY,BROD_BROD_2271,4,17588,4,4397,4397,2,8291,2,4146,4146
MOGA,BROD_BROD_2268,13,72018,15,4801,5540,2,5998,2,2999,2999
AMBALA,BROD_BROD_2268,16,92168,19,4851,5760,3,11482,3,3827,3827
RAIGARH,BROD_BROD_2268,16,83868,16,5242,5242,0,0,0,0,0
RAIPUR,BROD_BROD_2268,11,69353,11,6305,6305,2,7393,2,3696,3696
BHOPAL,BROD_BROD_2268,12,115447,15,7696,9621,0,0,0,0,0
KOTA,BROD_BROD_2268,10,58322,10,5832,5832,1,2799,1,2799,2799
Gurugram,BROD_BROD_2012,1,22955,2,11478,22955,0,0,0,0,0
SAGAR,BROD_BROD_2448,27,144594,29,4986,5355,1,799,1,799,799
SANGLI MIRAJ KUPWAD,BROD_BROD_2448,39,269249,46,5853,6904,0,0,0,0,0
JAGDALPUR,BROD_BROD_2448,43,326715,49,6668,7598,8,36377,8,4547,4547
HYDERABAD,BROD_BROD_2137,38,355823,42,8472,9364,3,49585,3,16528,16528
GWALIOR,BROD_BROD_2137,85,649178,97,6693,7637,6,39080,6,6513,6513
VADODARA,BROD_BROD_2137,89,755910,110,6872,8493,11,94193,11,8563,8563
JODHPUR,BROD_BROD_2137,35,281419,43,6545,8041,2,44069,2,22034,22034
BELGAUM,BROD_BROD_2137,35,264131,42,6289,7547,1,6896,1,6896,6896
HUBLI-DHARWAD,BROD_BROD_2137,32,268435,37,7255,8389,1,1799,1,1799,1799
AHMEDABAD,BROD_BROD_2137,37,289652,45,6437,7828,10,38132,10,3813,3813
INDORE,BROD_BROD_2137,31,203761,31,6573,6573,1,3499,1,3499,3499
Gurugram,BROD_BROD_2006,1,22955,2,11478,22955,0,0,0,0,0
RAIPUR,BROD_BROD_2114,167,1327846,196,6775,7951,1,5998,1,5998,5998
THANE,BROD_BROD_2114,60,412933,73,5657,6882,1,1499,1,1499,1499
GAYA,BROD_BROD_2114,21,164139,21,7816,7816,0,0,0,0,0
BENGALURU,BROD_BROD_2114,28,166629,28,5951,5951,1,14998,1,14998,14998
Gurgaon,BROD_BROD_2114,24,175520,25,7021,7313,0,0,0,0,0
MUMBAI,BROD_BROD_2114,23,147746,24,6156,6424,3,11591,3,3864,3864
MUMBAI,BROD_BROD_2114,31,244127,33,7398,7875,1,1299,1,1299,1299
BENGALURU,BROD_BROD_2437,2,26390,2,13195,13195,0,0,0,0,0
PATNA,BROD_BROD_2437,2,33988,2,16994,16994,0,0,0,0,0
PATNA,BROD_BROD_2437,1,29290,1,29290,29290,0,0,0,0,0
AHMEDABAD,BROD_BROD_2063,127,4602640,932,4938,36241,23,133094,23,5787,5787
RANCHI,BROD_BROD_2063,150,1469655,198,7422,9798,32,206542,32,6454,6454
BILASPUR,BROD_BROD_2063,159,1602511,204,7855,10079,37,241136,38,6346,6517
BHUBANESWAR,BROD_BROD_2063,86,680776,105,6484,7916,15,77360,16,4835,5157
KOLKATA,BROD_BROD_2063,68,510983,76,6723,7514,15,72455,15,4830,4830
DURGAPUR,BROD_BROD_2063,84,726893,94,7733,8653,17,124992,17,7352,7352
SHILLONG,BROD_BROD_2063,89,645213,100,6452,7250,25,151706,25,6068,6068
SALEM,BROD_BROD_2063,128,1085783,146,7437,8483,31,175727,31,5669,5669
GORAKHPUR,BROD_BROD_2227,1,4196,1,4196,4196,0,0,0,0,0
DELHI,BROD_BROD_2227,5,44269,5,8854,8854,0,0,0,0,0
LUCKNOW,BROD_BROD_2227,3,38788,3,12929,12929,0,0,0,0,0
Gurgaon,BROD_BROD_2227,2,11141,2,5570,5570,0,0,0,0,0
MORADABAD,BROD_BROD_2227,2,7143,3,2381,3572,0,0,0,0,0
MUMBAI,BROD_BROD_2227,1,6448,1,6448,6448,0,0,0,0,0
ETAH,BROD_BROD_2227,2,12741,2,6370,6370,0,0,0,0,0
DELHI,BROD_BROD_2227,1,30278,1,30278,30278,0,0,0,0,0
MUMBAI,BROD_BROD_2246,23,223357,28,7977,9711,0,0,0,0,0
PATNA,BROD_BROD_2246,34,241403,35,6897,7100,0,0,0,0,0
DELHI,BROD_BROD_2246,39,399696,44,9084,10249,0,0,0,0,0
BHUBANESWAR,BROD_BROD_2246,22,195157,22,8871,8871,0,0,0,0,0
SIWAN,BROD_BROD_2246,25,159894,28,5710,6396,1,3499,1,3499,3499
GUWAHATI,BROD_BROD_2246,23,285272,26,10972,12403,1,2599,1,2599,2599
BENGALURU,BROD_BROD_2246,17,149060,17,8768,8768,0,0,0,0,0
PUDUCHERRY,BROD_BROD_2246,24,153762,24,6407,6407,1,2894,1,2894,2894
ROURKELA,BROD_BROD_2446,29,121211,32,3788,4180,2,5198,2,2599,2599
SHILLONG,BROD_BROD_2446,39,366774,44,8336,9404,4,16585,4,4146,4146
PATNA,BROD_BROD_2446,47,381179,52,7330,8110,6,25391,6,4232,4232
UDHAMPUR,BROD_BROD_1958,52,456149,78,5848,8772,15,109604,15,7307,7307
DELHI,BROD_BROD_1958,63,431110,82,5257,6843,26,170716,26,6566,6566
LUCKNOW,BROD_BROD_1958,84,662760,115,5763,7890,21,109047,21,5193,5193
CHANDIGARH,BROD_BROD_1958,25,195360,37,5280,7814,8,51791,8,6474,6474
NAUGARH,BROD_BROD_1958,47,449353,66,6808,9561,7,34124,7,4875,4875
GORAKHPUR,BROD_BROD_1958,37,288241,51,5652,7790,14,71252,14,5089,5089
GHAZIABAD,BROD_BROD_1958,62,522382,70,7463,8426,17,70993,17,4176,4176
LUCKNOW,BROD_BROD_1958,59,425834,66,6452,7218,13,66250,13,5096,5096
DHANBAD,BROD_BROD_2072,12,115881,18,6438,9657,3,16090,3,5363,5363
GUWAHATI,BROD_BROD_2072,52,298750,68,4393,5745,4,14989,4,3747,3747
VIJAYAWADA,BROD_BROD_2072,42,260237,52,5005,6196,7,39327,7,5618,5618
GUWAHATI,BROD_BROD_2072,24,138802,29,4786,5783,3,9488,3,3163,3163
LUCKNOW,BROD_BROD_2072,28,218225,38,5743,7794,5,21584,5,4317,4317
DHANBAD,BROD_BROD_2072,7,54168,8,6771,7738,1,3094,1,3094,3094
DELHI,BROD_BROD_2220,1,5999,1,5999,5999,0,0,0,0,0
KARNAL,BROD_BROD_2220,1,4098,1,4098,4098,0,0,0,0,0
LAKHIMPUR KHERI,BROD_BROD_2220,6,27033,6,4506,4506,5,21935,5,4387,4387
UDAIPUR,BROD_BROD_2220,2,8746,2,4373,4373,0,0,0,0,0
GURUGRAM,BROD_BROD_2220,3,32637,3,10879,10879,1,18693,1,18693,18693
Gurugram,BROD_BROD_2025,1,22955,2,11478,22955,0,0,0,0,0
ALIGARH,BROD_BROD_1959,3,43872,6,7312,14624,0,0,0,0,0
VARANASI,BROD_BROD_1959,4,16714,5,3343,4178,0,0,0,0,0
CHANDIGARH,BROD_BROD_1959,5,60589,7,8656,12118,0,0,0,0,0
MAUNATH BHANJAN,BROD_BROD_1959,2,6494,4,1624,3247,0,0,0,0,0
LUCKNOW,BROD_BROD_1959,2,18894,4,4724,9447,0,0,0,0,0
DEORIA,BROD_BROD_1959,3,31459,4,7865,10486,0,0,0,0,0
PRAYAGRAJ,BROD_BROD_1959,2,19494,2,9747,9747,0,0,0,0,0
THIRUVANANTHAPURAM,BROD_BROD_2122,2,5793,2,2896,2896,0,0,0,0,0
THIRUVANANTHAPURAM,BROD_BROD_2122,1,9692,1,9692,9692,0,0,0,0,0
KOCHI,BROD_BROD_2122,2,5798,2,2899,2899,0,0,0,0,0
MANGALURU,BROD_BROD_1832,5,24683,6,4114,4937,0,0,0,0,0
Gurgaon,BROD_BROD_1832,8,44341,11,4031,5543,0,0,0,0,0
HUBLI-DHARWAD,BROD_BROD_1832,1,2399,1,2399,2399,0,0,0,0,0
DALTONGANJ,BROD_BROD_1832,1,2395,1,2395,2395,0,0,0,0,0
PURNIA,BROD_BROD_1832,2,15303,2,7652,7652,0,0,0,0,0
Gurgaon,BROD_BROD_2159,4,14949,4,3737,3737,0,0,0,0,0
ETAWAH,BROD_BROD_2159,1,549,1,549,549,1,549,1,549,549
INDORE,BROD_BROD_2159,1,2599,1,2599,2599,0,0,0,0,0
Gurgaon,BROD_BROD_1742,45,270064,50,5401,6001,1,1995,1,1995,1995
Gurgaon,BROD_BROD_2435,5,54719,5,10944,10944,1,5598,1,5598,5598
THIRUVANANTHAPURAM,BROD_BROD_2435,5,43187,5,8637,8637,1,11999,1,11999,11999
Gurugram,BROD_BROD_2014,1,22955,2,11478,22955,0,0,0,0,0
PURNIA,BROD_BROD_2231,7,46081,9,5120,6583,0,0,0,0,0
NELLORE,BROD_BROD_2231,12,92982,13,7152,7748,2,7097,2,3548,3548
BHUBANESWAR,BROD_BROD_2231,20,144089,21,6861,7204,0,0,0,0,0
HYDERABAD,BROD_BROD_2231,10,104687,13,8053,10469,0,0,0,0,0
BHILAI NAGAR,BROD_BROD_2231,4,12995,4,3249,3249,0,0,0,0,0
KHAMMAM,BROD_BROD_2231,9,70017,10,7002,7780,1,3499,1,3499,3499
DURGAPUR,BROD_BROD_2231,9,66821,9,7425,7425,0,0,0,0,0
KOCHI,BROD_BROD_1746,24,102050,26,3925,4252,3,12591,3,4197,4197
Gurgaon,BROD_BROD_1746,25,126497,26,4865,5060,4,14974,4,3744,3744
PATIALA,BROD_BROD_2454,40,263755,44,5994,6594,3,10243,3,3414,3414
AGRA,BROD_BROD_2454,24,242896,25,9716,10121,0,0,0,0,0
MANDI,BROD_BROD_1743,9,61145,11,5559,6794,1,5996,1,5996,5996
Gurugram,BROD_BROD_2018,1,22955,2,11478,22955,0,0,0,0,0
CHANDIGARH,BROD_BROD_1950,5,12997,5,2599,2599,0,0,0,0,0
MANDI,BROD_BROD_1950,7,46836,12,3903,6691,0,0,0,0,0
JAIPUR,BROD_BROD_1950,16,62164,16,3885,3885,1,2399,1,2399,2399
KANPUR,BROD_BROD_1950,5,30063,10,3006,6013,0,0,0,0,0
GHAZIABAD,BROD_BROD_1950,6,30326,6,5054,5054,0,0,0,0,0
KANPUR,BROD_BROD_1950,5,57508,7,8215,11502,0,0,0,0,0
BASTI,BROD_BROD_1950,4,20141,7,2877,5035,0,0,0,0,0
JHANSI,BROD_BROD_1947,16,107240,24,4468,6702,0,0,0,0,0
VARANASI,BROD_BROD_1947,37,200977,41,4902,5432,0,0,0,0,0
MUMBAI,BROD_BROD_1947,25,153163,35,4376,6127,0,0,0,0,0
GONDA,BROD_BROD_1947,12,70559,19,3714,5880,0,0,0,0,0
ETAWAH,BROD_BROD_1947,20,127154,22,5780,6358,2,5297,2,2648,2648
BASTI,BROD_BROD_1947,21,192600,26,7408,9171,0,0,0,0,0
SAHARANPUR,BROD_BROD_1947,16,84151,17,4950,5259,0,0,0,0,0
KOTTAYAM,BROD_BROD_2058,3,67728,9,7525,22576,0,0,0,0,0
KOCHI,BROD_BROD_2058,1,10293,1,10293,10293,0,0,0,0,0
KOCHI,BROD_BROD_2058,1,1999,1,1999,1999,0,0,0,0,0
UDHAMPUR,BROD_BROD_2088,83,581308,103,5644,7004,14,69456,14,4961,4961
DELHI,BROD_BROD_2088,110,870829,136,6403,7917,29,157217,30,5241,5421
VARANASI,BROD_BROD_2088,92,584571,116,5039,6354,17,71666,17,4216,4216
MUGHALSARAI,BROD_BROD_2088,67,586379,78,7518,8752,20,110689,20,5534,5534
MOGA,BROD_BROD_2088,29,249372,36,6927,8599,8,57976,8,7247,7247
KULLU,BROD_BROD_2088,31,286635,35,8190,9246,8,30616,8,3827,3827
Gurugram,BROD_BROD_2007,1,22955,2,11478,22955,0,0,0,0,0
CHHINDWARA,BROD_BROD_2090,111,868303,149,5828,7823,27,131867,27,4884,4884
BHAGALPUR,BROD_BROD_2090,109,756025,145,5214,6936,21,97030,22,4410,4620
DHANBAD,BROD_BROD_2090,108,852618,157,5431,7895,31,109082,32,3409,3519
GUWAHATI,BROD_BROD_2090,54,395791,58,6824,7329,18,72532,18,4030,4030
DALTONGANJ,BROD_BROD_2090,47,369836,58,6376,7869,13,64564,13,4966,4966
HAZARIBAGH,BROD_BROD_2090,50,408540,53,7708,8171,14,48757,14,3483,3483
PATNA,BROD_BROD_2090,45,362199,54,6707,8049,12,62257,12,5188,5188
ANANTAPUR,BROD_BROD_2090,61,467154,64,7299,7658,18,63820,18,3546,3546
GURUGRAM,BROD_BROD_2397,3,19320,3,6440,6440,1,2999,1,2999,2999
PATIALA,BROD_BROD_2397,3,22188,3,7396,7396,1,1995,1,1995,1995
KULLU,BROD_BROD_2218,8,52207,10,5221,6526,3,18383,3,6128,6128
DELHI,BROD_BROD_2218,11,85749,12,7146,7795,4,17629,4,4407,4407
BAREILLY,BROD_BROD_2218,12,48423,12,4035,4035,7,22881,7,3269,3269
PILIBHIT,BROD_BROD_2218,3,18804,3,6268,6268,1,5398,1,5398,5398
LUCKNOW,BROD_BROD_2218,4,19588,4,4897,4897,1,599,1,599,599
VARANASI,BROD_BROD_2218,6,24493,7,3499,4082,1,3499,1,3499,3499
JAIPUR,BROD_BROD_2218,4,11492,5,2298,2873,1,2195,1,2195,2195
KANPUR,BROD_BROD_2218,14,93557,14,6683,6683,5,15136,5,3027,3027
KOTTAYAM,BROD_BROD_2215,6,53172,6,8862,8862,1,11588,1,11588,11588
KOCHI,BROD_BROD_2215,3,21193,3,7064,7064,2,6998,2,3499,3499
CALICUT,BROD_BROD_2215,1,6094,1,6094,6094,0,0,0,0,0
Gurugram,BROD_BROD_2011,1,22955,2,11478,22955,0,0,0,0,0
KANPUR,BROD_BROD_2061,74,696854,103,6766,9417,18,82270,20,4114,4571
DEHRADUN,BROD_BROD_2061,58,417217,70,5960,7193,15,68083,15,4539,4539
AGRA,BROD_BROD_2061,75,680470,88,7733,9073,22,141054,22,6412,6412
MATHURA,BROD_BROD_2061,38,352907,42,8403,9287,9,43977,9,4886,4886
BAREILLY,BROD_BROD_2061,42,326882,54,6053,7783,9,47281,9,5253,5253
KANPUR,BROD_BROD_2061,100,1014689,114,8901,10147,27,146908,27,5441,5441
BIKANER,BROD_BROD_2061,51,331052,55,6019,6491,9,69718,9,7746,7746
FARRUKHABAD-CUM-FATEHGARH,BROD_BROD_2096,22,160457,33,4862,7294,0,0,0,0,0
LUCKNOW,BROD_BROD_2096,11,66744,12,5562,6068,0,0,0,0,0
MORADABAD,BROD_BROD_2096,5,23078,5,4616,4616,0,0,0,0,0
HISAR,BROD_BROD_2096,4,18249,4,4562,4562,0,0,0,0,0
MANDI,BROD_BROD_2096,4,44122,5,8824,11030,0,0,0,0,0
Gurgaon,BROD_BROD_2096,2,11897,2,5948,5948,0,0,0,0,0
LUCKNOW,BROD_BROD_2096,4,22287,4,5572,5572,0,0,0,0,0
BHILWARA,BROD_BROD_2096,7,54409,7,7773,7773,0,0,0,0,0
AMBIKAPUR,BROD_BROD_2239,31,137289,34,4038,4429,4,13191,4,3298,3298
RAIPUR,BROD_BROD_2239,53,348840,66,5285,6582,5,16438,5,3288,3288
NAHARLAGUN,BROD_BROD_2239,56,347232,62,5601,6201,5,18694,5,3739,3739
JAGDALPUR,BROD_BROD_2239,25,161626,28,5772,6465,0,0,0,0,0
REWA,BROD_BROD_2239,39,332938,50,6659,8537,2,8597,2,4298,4298
BEGUSARAI,BROD_BROD_2239,42,297828,46,6475,7091,2,8096,2,4048,4048
GUWAHATI,BROD_BROD_2239,41,222012,47,4724,5415,2,6997,2,3498,3498
SAGAR,BROD_BROD_2239,28,147393,30,4913,5264,1,799,1,799,799
KANPUR,BROD_BROD_2360,9,78820,10,7882,8758,1,2898,1,2898,2898
BIJNOR,BROD_BROD_2360,5,68815,5,13763,13763,2,12240,2,6120,6120
DELHI,BROD_BROD_2360,13,181531,14,12966,13964,2,51389,2,25694,25694
LUCKNOW,BROD_BROD_1987,11,44772,12,3731,4070,0,0,0,0,0
PATHANKOT,BROD_BROD_1987,14,92083,16,5755,6577,0,0,0,0,0
GORAKHPUR,BROD_BROD_1987,10,35307,11,3210,3531,0,0,0,0,0
DELHI,BROD_BROD_1987,8,49813,9,5535,6227,1,2399,1,2399,2399
GONDA,BROD_BROD_1987,19,170025,29,5863,8949,0,0,0,0,0
PATIALA,BROD_BROD_1987,2,11692,2,5846,5846,1,6498,1,6498,6498
AHMEDABAD,BROD_BROD_1987,15,108220,18,6012,7215,1,4098,1,4098,4098
CHANDIGARH,BROD_BROD_1987,2,21084,2,10542,10542,0,0,0,0,0
MAUNATH BHANJAN,BROD_BROD_2064,116,505456,148,3415,4357,2,5997,2,2998,2998
HANUMANGARH,BROD_BROD_2064,86,469755,117,4015,5462,6,17538,6,2923,2923
JAMALPUR,BROD_BROD_2064,106,608576,140,4347,5741,4,13439,4,3360,3360
ETAWAH,BROD_BROD_2064,54,311000,78,3987,5759,6,27277,6,4546,4546
INDORE,BROD_BROD_2064,57,300760,77,3906,5276,3,9496,3,3165,3165
SULTANPUR,BROD_BROD_2064,65,301669,74,4077,4641,2,7696,2,3848,3848
VARANASI,BROD_BROD_2064,70,338137,79,4280,4831,0,0,0,0,0
PATHANKOT,BROD_BROD_2064,107,577772,128,4514,5400,4,11336,4,2834,2834
AMRITSAR,BROD_BROD_2452,7,20886,7,2984,2984,2,5597,2,2798,2798
ETAWAH,BROD_BROD_2452,17,128592,20,6430,7564,0,0,0,0,0
GORAKHPUR,BROD_BROD_2452,18,153647,24,6402,8536,2,3947,2,1974,1974
MUZAFFARNAGAR,BROD_BROD_2449,13,68388,16,4274,5261,1,2799,1,2799,2799
PANCHKULA,BROD_BROD_2449,14,66636,17,3920,4760,2,12596,2,6298,6298
GORAKHPUR,BROD_BROD_2449,22,129624,24,5401,5892,2,14996,2,7498,7498
JAMALPUR,BROD_BROD_1840,50,263875,59,4472,5278,1,3898,1,3898,3898
ROURKELA,BROD_BROD_1840,82,639777,115,5563,7802,3,8997,3,2999,2999
RAIPUR,BROD_BROD_1840,93,637522,123,5183,6855,3,11991,3,3997,3997
ITANAGAR,BROD_BROD_1840,43,253355,49,5171,5892,2,11392,2,5696,5696
DELHI,BROD_BROD_1840,40,232778,47,4953,5819,4,18385,4,4596,4596
PURNIA,BROD_BROD_1840,47,253410,59,4295,5392,4,21791,4,5448,5448
PATNA,BROD_BROD_1840,49,291602,59,4942,5951,5,20791,5,4158,4158
SINGRAULI,BROD_BROD_1840,66,357439,72,4964,5416,8,35620,8,4452,4452
BHUBANESWAR,BROD_BROD_1961,1,3499,1,3499,3499,0,0,0,0,0
AURANGABAD,BROD_BROD_1961,3,31574,3,10525,10525,0,0,0,0,0
BILASPUR,BROD_BROD_1961,5,73203,6,12200,14641,0,0,0,0,0
HYDERABAD,BROD_BROD_1961,4,60390,5,12078,15098,0,0,0,0,0
SHILLONG,BROD_BROD_1961,5,34603,5,6921,6921,1,5594,1,5594,5594
PUNE,BROD_BROD_1961,1,18991,1,18991,18991,0,0,0,0,0
BENGALURU,BROD_BROD_1961,3,42003,4,10501,14001,0,0,0,0,0
Gurgaon,BROD_BROD_1961,1,6999,1,6999,6999,0,0,0,0,0
SILIGURI,BROD_BROD_1753,36,238266,39,6109,6618,7,35676,7,5097,5097
Gurgaon,BROD_BROD_2163,129,496376,141,3520,3848,7,15892,7,2270,2270
GUWAHATI,BROD_BROD_2163,36,174883,40,4372,4858,2,8786,2,4393,4393
DUMKA,BROD_BROD_2163,20,65914,22,2996,3296,4,10541,4,2635,2635
RAMPUR,BROD_BROD_2163,15,67952,16,4247,4530,2,4294,2,2147,2147
LUCKNOW,BROD_BROD_2060,89,540388,116,4659,6072,21,86212,21,4105,4105
DEORIA,BROD_BROD_2060,64,539122,111,4857,8424,13,49625,13,3817,3817
UDHAMPUR,BROD_BROD_2060,177,1191225,223,5342,6730,31,156262,32,4883,5041
SIRSA,BROD_BROD_2060,51,311383,64,4865,6106,13,78064,13,6005,6005
MANDI,BROD_BROD_2060,47,339602,62,5477,7226,17,108348,18,6019,6373
HARIDWAR,BROD_BROD_2060,35,277098,45,6158,7917,5,15739,5,3148,3148
JHANSI,BROD_BROD_2060,46,309767,56,5532,6734,11,62642,11,5695,5695
RANCHI,BROD_BROD_1846,111,732792,140,5234,6602,0,0,0,0,0
ALWAR,BROD_BROD_1846,97,826397,133,6214,8520,1,1148,1,1148,1148
BHAGALPUR,BROD_BROD_1846,139,891055,166,5368,6410,0,0,0,0,0
DHANBAD,BROD_BROD_1846,64,464355,76,6110,7256,0,0,0,0,0
CHENNAI,BROD_BROD_1846,80,622148,95,6549,7777,0,0,0,0,0
Gurgaon,BROD_BROD_1846,50,354477,54,6564,7090,2,9993,2,4996,4996
DEOGHAR,BROD_BROD_1846,65,421624,72,5856,6487,0,0,0,0,0
AGARTALA,BROD_BROD_1839,21,107296,24,4471,5109,0,0,0,0,0
HAZARIBAGH,BROD_BROD_1839,42,213074,51,4178,5073,0,0,0,0,0
RAIPUR,BROD_BROD_1839,41,285294,45,6340,6958,0,0,0,0,0
BENGALURU,BROD_BROD_1839,17,105414,18,5856,6201,0,0,0,0,0
GUWAHATI,BROD_BROD_1839,11,63386,11,5762,5762,0,0,0,0,0
RANCHI,BROD_BROD_1839,20,127571,21,6075,6379,0,0,0,0,0
KOHIMA,BROD_BROD_1839,14,86019,15,5735,6144,1,6094,1,6094,6094
GIRIDIH,BROD_BROD_1839,21,143881,24,5995,6851,0,0,0,0,0
Gurgaon,BROD_BROD_2244,33,286302,42,6817,8676,3,7596,3,2532,2532
RANCHI,BROD_BROD_2244,27,139945,27,5183,5183,0,0,0,0,0
PATNA,BROD_BROD_2244,19,196015,21,9334,10317,1,4098,1,4098,4098
GOA,BROD_BROD_2244,21,105024,21,5001,5001,2,9896,2,4948,4948
GAYA,BROD_BROD_2244,25,120026,25,4801,4801,2,3693,2,1846,1846
SINGRAULI,BROD_BROD_2244,15,136289,15,9086,9086,0,0,0,0,0
ROURKELA,BROD_BROD_2244,15,93354,15,6224,6224,0,0,0,0,0
KOHIMA,BROD_BROD_1789,4,28889,4,7222,7222,2,23291,2,11646,11646
DIMAPUR,BROD_BROD_1789,1,6298,1,6298,6298,0,0,0,0,0
DEHRADUN,BROD_BROD_2222,40,314385,50,6288,7860,15,81489,15,5433,5433
PATHANKOT,BROD_BROD_2222,38,380018,48,7917,10000,15,110099,15,7340,7340
UDHAMPUR,BROD_BROD_2222,60,615616,76,8100,10260,23,104277,24,4345,4534
AGRA,BROD_BROD_2222,25,204446,31,6595,8178,10,42527,10,4253,4253
KANPUR,BROD_BROD_2222,28,219396,30,7313,7836,8,36333,8,4542,4542
LUCKNOW,BROD_BROD_2222,29,240139,37,6490,8281,9,57815,9,6424,6424
HISAR,BROD_BROD_2222,29,329733,33,9992,11370,12,91506,12,7626,7626
JAIPUR,BROD_BROD_2222,25,141261,30,4709,5650,10,54775,10,5478,5478
Gurugram,BROD_BROD_2026,1,22955,2,11478,22955,0,0,0,0,0
Gurgaon,BROD_BROD_2267,34,190375,39,4881,5599,5,49487,5,9897,9897
RAIPUR,BROD_BROD_2267,63,582931,68,8573,9253,0,0,0,0,0
HYDERABAD,BROD_BROD_2267,32,163276,39,4187,5102,6,27278,6,4546,4546
JAMMU,BROD_BROD_2267,62,425693,65,6549,6866,5,27987,5,5597,5597
PUNE,BROD_BROD_2267,40,302231,42,7196,7556,1,5998,1,5998,5998
MUMBAI,BROD_BROD_2267,21,181712,21,8653,8653,2,7194,2,3597,3597
PUNE,BROD_BROD_2267,41,307025,46,6674,7488,6,45031,6,7505,7505
GANDHINAGAR,BROD_BROD_2221,3,63762,3,21254,21254,0,0,0,0,0
PATNA,BROD_BROD_2221,5,117578,8,14697,23516,1,52567,1,52567,52567
MUMBAI,BROD_BROD_2221,7,57999,7,8286,8286,3,9193,3,3064,3064
Gurgaon,BROD_BROD_2221,1,3376,2,1688,3376,1,1437,1,1437,1437
GAYA,BROD_BROD_2221,2,30377,3,10126,15188,2,3094,2,1547,1547
PATNA,BROD_BROD_2221,2,7092,3,2364,3546,2,5593,2,2796,2796
HYDERABAD,BROD_BROD_2221,1,13296,1,13296,13296,0,0,0,0,0
BHUBANESWAR,BROD_BROD_2221,3,11892,3,3964,3964,1,1795,1,1795,1795
DURGAPUR,BROD_BROD_2440,9,66821,9,7425,7425,0,0,0,0,0
KOLKATA,BROD_BROD_2440,16,120437,21,5735,7527,2,7792,2,3896,3896
BHAGALPUR,BROD_BROD_2440,10,55633,11,5058,5563,0,0,0,0,0
Gurgaon,BROD_BROD_1750,26,138337,28,4941,5321,0,0,0,0,0
CHENNAI,ALT_SBC_9,1,12794,1,12794,12794,0,0,0,0,0
KANPUR,ALT_SBC_43,1,1499,1,1499,1499,0,0,0,0,0
LUCKNOW,ALT_SBC_43,4,22784,4,5696,5696,0,0,0,0,0
MEERUT,ALT_SBC_43,2,14890,2,7445,7445,1,1999,1,1999,1999
SAMBALPUR,ALT_SBC_43,5,42880,6,7147,8576,0,0,0,0,0
TIRUPATI,ALT_SBC_43,2,18691,3,6230,9346,0,0,0,0,0
Gurgaon,ALT_SBC_43,43,164987,44,3750,3837,1,1791,1,1791,1791
JAIPUR,ALT_SBC_43,1,2595,1,2595,2595,0,0,0,0,0
KOLKATA,ALT_SBC_43,2,16594,2,8297,8297,0,0,0,0,0
GHAZIABAD,ALT_SBC_43,2,26636,2,13318,13318,1,2799,1,2799,2799
KANPUR,ALT_SBC_43,5,57460,6,9577,11492,1,2799,1,2799,2799
MADURAI,ALT_SBC_43,4,23987,4,5997,5997,0,0,0,0,0
JAIPUR,ALT_SBC_43,2,10997,2,5498,5498,0,0,0,0,0
GAYA,ALT_SBC_43,4,23744,6,3957,5936,3,9793,3,3264,3264
PATNA,ALT_SBC_43,4,20338,5,4068,5084,2,8293,2,4146,4146
RANCHI,ALT_SBC_43,6,33783,7,4826,5630,0,0,0,0,0
AHMEDABAD,ALT_SBC_43,2,50525,2,25262,25262,0,0,0,0,0
GHAZIABAD,ALT_SBC_43,2,14383,3,4794,7192,2,9589,2,4794,4794
CUTTACK,ALT_SBC_43,2,5898,2,2949,2949,0,0,0,0,0
BHUBANESWAR,ALT_SBC_43,7,35578,7,5083,5083,0,0,0,0,0
JAMMU,ALT_SBC_43,2,4935,2,2468,2468,1,2299,1,2299,2299
BHUBANESWAR,ALT_SBC_43,5,52083,6,8680,10417,2,13995,2,6998,6998
MUMBAI,ALT_SBC_43,2,17098,2,8549,8549,1,5099,1,5099,5099
JAMSHEDPUR,ALT_SBC_43,4,18989,4,4747,4747,1,6398,1,6398,6398
BHOPAL,ALT_SBC_43,6,44673,6,7446,7446,0,0,0,0,0
INDORE,ALT_SBC_43,3,14287,3,4762,4762,0,0,0,0,0
HYDERABAD,ALT_SBC_43,1,33185,3,11062,33185,0,0,0,0,0
RAIPUR,ALT_SBC_43,3,27433,3,9144,9144,2,19136,2,9568,9568
PATNA,ALT_SBC_43,1,14191,1,14191,14191,1,14191,1,14191,14191
VARANASI,ALT_SBC_43,1,-3203,1,-3203,-3203,0,0,0,0,0
NAGPUR,ALT_SBC_43,6,45496,6,7583,7583,1,3499,1,3499,3499
SIKAR,ALT_SBC_43,1,2794,1,2794,2794,0,0,0,0,0
