Row Labels,Sum of Responder,Sum of ResponderSales
BROD_BROD_2112,698,4783445.81
BROD_BROD_2114,255,1960699.56
BROD_BROD_2116,3,41373
BROD_BROD_2118,2,5084
BROD_BROD_2120,15,62735.13
BROD_BROD_2122,3,14986
BROD_BROD_2124,2,6729
BROD_BROD_2125,,
BROD_BROD_2126,753,3570923.57
BROD_BROD_2127,183,1077628.73
BROD_BROD_2128,314,2154110.53
BROD_BROD_2129,,
BROD_BROD_2130,,
BROD_BROD_2131,,
BROD_BROD_2132,,
BROD_BROD_2133,,
BROD_BROD_2135,78,520107
BROD_BROD_2137,217,1748291.78
BROD_BROD_2139,62,420627.05
BROD_BROD_2141,70,566417.9
BROD_BROD_2142,29,142822.63
BROD_BROD_2143,,
BROD_BROD_2145,388,1752427.39
BROD_BROD_2146,107,664252.16
BROD_BROD_2147,,
BROD_BROD_2148,,
BROD_BROD_2149,,
BROD_BROD_2150,,
BROD_BROD_2151,,
BROD_BROD_2152,,
BROD_BROD_2153,,
BROD_BROD_2154,,
BROD_BROD_2155,,
BROD_BROD_2156,,
BROD_BROD_2157,,
BROD_BROD_2158,40,180336.69
BROD_BROD_2159,5,12598.18
BROD_BROD_2160,74,385654.48
BROD_BROD_2161,107,433317.34
BROD_BROD_2162,107,466265.1
BROD_BROD_2163,166,670696.46
BROD_BROD_2166,,
BROD_BROD_2167,,
BROD_BROD_2168,,
BROD_BROD_2169,,
BROD_BROD_2170,28,317625.03
BROD_BROD_2171,,
BROD_BROD_2172,27,200150.86
BROD_BROD_2176,,
BROD_BROD_2177,,
BROD_BROD_2178,,
BROD_BROD_2179,,
BROD_BROD_2180,,
BROD_BROD_2181,,
BROD_BROD_2182,,
BROD_BROD_2183,,
BROD_BROD_2184,,
BROD_BROD_2185,,
BROD_BROD_2186,,
BROD_BROD_2187,,
BROD_BROD_2188,,
BROD_BROD_2189,,
BROD_BROD_2190,,
BROD_BROD_2191,,
BROD_BROD_2192,,
BROD_BROD_2193,,
BROD_BROD_2194,,
BROD_BROD_2195,,
BROD_BROD_2196,,
BROD_BROD_2197,,
BROD_BROD_2198,,
BROD_BROD_2199,,
BROD_BROD_2200,,
BROD_BROD_2201,,
BROD_BROD_2202,,
BROD_BROD_2203,,
BROD_BROD_2204,,
BROD_BROD_2205,,
BROD_BROD_2206,,
BROD_BROD_2207,,
BROD_BROD_2208,,
BROD_BROD_2209,,
BROD_BROD_2210,,
BROD_BROD_2211,62,406553.04
BROD_BROD_2212,181,1229373.58
BROD_BROD_2213,48,304688.56
BROD_BROD_2214,50,362499.57
BROD_BROD_2215,4,36079
BROD_BROD_2216,39,389959.02
BROD_BROD_2217,81,657342.56
BROD_BROD_2218,39,215172.8
BROD_BROD_2219,100,682862.64
BROD_BROD_2220,9,60119
BROD_BROD_2221,17,228337.03
BROD_BROD_2222,172,1476611
BROD_BROD_2223,350,3212195.71
BROD_BROD_2224,39,188317.1
BROD_BROD_2225,86,602248.9
BROD_BROD_2226,7,39536.03
BROD_BROD_2227,14,137514.53
BROD_BROD_2228,8,53879
BROD_BROD_2229,9,63143.03
BROD_BROD_2230,9,70059.2
BROD_BROD_2231,46,355236
BROD_BROD_2232,30,214724.4
BROD_BROD_2233,35,248881
BROD_BROD_2234,36,199394.9
BROD_BROD_2235,65,471398.42
BROD_BROD_2236,92,532276.3
BROD_BROD_2237,176,1041252.44
BROD_BROD_2238,100,607629.53
BROD_BROD_2239,194,1266409.22
BROD_BROD_2240,51,325599.89
BROD_BROD_2241,106,617947.65
BROD_BROD_2242,12,82953
BROD_BROD_2243,52,366026.03
BROD_BROD_2244,88,690120.55
BROD_BROD_2245,88,654532.51
BROD_BROD_2246,123,1015518.26
BROD_BROD_2247,19,148969
BROD_BROD_2248,28,194220
BROD_BROD_2249,,
BROD_BROD_2250,,
BROD_BROD_2251,,
BROD_BROD_2252,,
BROD_BROD_2253,,
BROD_BROD_2255,40,166189.91
BROD_BROD_2257,1,549
BROD_BROD_2258,3,19391
BROD_BROD_2259,3,13987
BROD_BROD_2260,1,5598
BROD_BROD_2261,1,23791
BROD_BROD_2262,,
BROD_BROD_2263,,
BROD_BROD_2264,,
BROD_BROD_2265,,
BROD_BROD_2266,60,421102.1
BROD_BROD_2267,126,947713.47
BROD_BROD_2268,52,322836.51
BROD_BROD_2269,46,347864.9
BROD_BROD_2270,,
BROD_BROD_2271,26,129753.8
BROD_BROD_2272,,
BROD_BROD_2273,,
BROD_BROD_2274,,
BROD_BROD_2275,836,6265741.53
BROD_BROD_2276,24,187871.33
BROD_BROD_2277,4,16510.03
BROD_BROD_2281,,
BROD_BROD_2282,,
BROD_BROD_2283,,
BROD_BROD_2285,75,444451.91
BROD_BROD_2287,97,481026.43
BROD_BROD_2288,,
BROD_BROD_2289,,
BROD_BROD_2290,,
BROD_BROD_2291,,
BROD_BROD_2292,,
BROD_BROD_2293,,
BROD_BROD_2294,,
BROD_BROD_2295,,
BROD_BROD_2296,,
BROD_BROD_2297,,
BROD_BROD_2298,,
BROD_BROD_2299,,
BROD_BROD_2300,,
BROD_BROD_2327,,
BROD_BROD_2328,,
BROD_BROD_2329,,
BROD_BROD_2330,,
BROD_BROD_2331,,
BROD_BROD_2332,,
BROD_BROD_2333,,
BROD_BROD_2334,,
BROD_BROD_2335,,
BROD_BROD_2336,,
BROD_BROD_2337,,
BROD_BROD_2338,,
BROD_BROD_2339,,
BROD_BROD_2340,,
BROD_BROD_2341,,
BROD_BROD_2342,,
BROD_BROD_2343,,
BROD_BROD_2344,,
BROD_BROD_2345,,
BROD_BROD_2346,,
BROD_BROD_2347,,
BROD_BROD_2348,,
BROD_BROD_2349,,
BROD_BROD_2350,,
BROD_BROD_2351,,
BROD_BROD_2352,,
BROD_BROD_2355,,
BROD_BROD_2356,,
BROD_BROD_2358,8,62759
BROD_BROD_2360,45,423876
BROD_BROD_2362,77,832014.5
BROD_BROD_2364,42,215326
BROD_BROD_2395,86,541954.33
BROD_BROD_2397,9,88671.03
BROD_BROD_2399,13,95740
BROD_BROD_2429,165,1256649.49
BROD_BROD_2431,302,2964044.58
BROD_BROD_2433,29,146864.98
BROD_BROD_2434,75,404587.12
BROD_BROD_2435,10,104800.03
BROD_BROD_2436,9,70147.9
BROD_BROD_2437,9,132733
BROD_BROD_2438,5,33878
BROD_BROD_2439,18,113131.96
BROD_BROD_2440,46,336410.53
BROD_BROD_2441,24,262207
BROD_BROD_2442,63,497733
BROD_BROD_2443,38,248653.04
BROD_BROD_2444,58,339822.23
BROD_BROD_2445,73,501243.65
BROD_BROD_2446,200,1241996.94
BROD_BROD_2447,117,861040.32
BROD_BROD_2448,180,1312478.4
BROD_BROD_2449,72,436189.67
BROD_BROD_2450,98,639245.13
BROD_BROD_2451,21,152842.98
BROD_BROD_2452,52,317338.23
BROD_BROD_2453,102,695946.49
BROD_BROD_2454,79,596685.02
BROD_BROD_2455,135,1045911.51
BROD_BROD_2456,17,106290
BROD_BROD_2457,23,147811
BROD_BROD_2458,2,11990
BROD_BROD_2459,39,301553.11
BROD_BROD_2460,38,218097.66
BROD_BROD_2461,,
BROD_BROD_2463,,
BROD_BROD_2464,71,505453.15
BROD_BROD_2465,133,1187315.9
BROD_BROD_2466,19,122861.94
BROD_BROD_2467,48,287124.99
BROD_BROD_2468,52,244931.89
BROD_BROD_2469,3,8650.03
Grand Total,29825,200322887.4
